        Layer (type)               Output Shape         Param #
ResidualDenseBlock-403         [-1, 64, 128, 128]               0
            RRDB-404         [-1, 64, 128, 128]               0
          Conv2d-405         [-1, 32, 128, 128]          18,464
       LeakyReLU-406         [-1, 32, 128, 128]               0
          Conv2d-407         [-1, 32, 128, 128]          27,680
       LeakyReLU-408         [-1, 32, 128, 128]               0
          Conv2d-409         [-1, 32, 128, 128]          36,896
       LeakyReLU-410         [-1, 32, 128, 128]               0
          Conv2d-411         [-1, 32, 128, 128]          46,112
       LeakyReLU-412         [-1, 32, 128, 128]               0
          Conv2d-413         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-414         [-1, 64, 128, 128]               0
          Conv2d-415         [-1, 32, 128, 128]          18,464
       LeakyReLU-416         [-1, 32, 128, 128]               0
          Conv2d-417         [-1, 32, 128, 128]          27,680
       LeakyReLU-418         [-1, 32, 128, 128]               0
          Conv2d-419         [-1, 32, 128, 128]          36,896
       LeakyReLU-420         [-1, 32, 128, 128]               0
          Conv2d-421         [-1, 32, 128, 128]          46,112
       LeakyReLU-422         [-1, 32, 128, 128]               0
          Conv2d-423         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-424         [-1, 64, 128, 128]               0
          Conv2d-425         [-1, 32, 128, 128]          18,464
       LeakyReLU-426         [-1, 32, 128, 128]               0
          Conv2d-427         [-1, 32, 128, 128]          27,680
       LeakyReLU-428         [-1, 32, 128, 128]               0
          Conv2d-429         [-1, 32, 128, 128]          36,896
       LeakyReLU-430         [-1, 32, 128, 128]               0
          Conv2d-431         [-1, 32, 128, 128]          46,112
       LeakyReLU-432         [-1, 32, 128, 128]               0
          Conv2d-433         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-434         [-1, 64, 128, 128]               0
            RRDB-435         [-1, 64, 128, 128]               0
          Conv2d-436         [-1, 32, 128, 128]          18,464
       LeakyReLU-437         [-1, 32, 128, 128]               0
          Conv2d-438         [-1, 32, 128, 128]          27,680
       LeakyReLU-439         [-1, 32, 128, 128]               0
          Conv2d-440         [-1, 32, 128, 128]          36,896
